baseline,kind,d,split,horizon,mode,metric,n_enc,r2,r2_ci_lo,r2_ci_hi,mae,mae_ci_lo,mae_ci_hi
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,circulation_pos,24,0.7821954081140864,0.5281372047733184,0.8906160674855448,1.0421287730004023,0.7690859253493323,1.3550109048839079
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,circulation_pos,24,0.9264582816555859,0.8702150927524989,0.9577319948314627,0.624961713417933,0.4607623241408466,0.8015641810112492
jepa_d64_test1_noBN,jepa,64,test_c,1,z_dns,circulation_neg,24,-7.260124721758402,-14.91483588948199,-3.5813281355127327,1.3806091493940837,1.0288372762320404,1.7430693732460965
jepa_d64_test1_noBN,jepa,64,test_c,4,z_dns,circulation_neg,24,-4.272474809364294,-10.202133484893581,-1.632683907902497,1.739370440768486,1.2740021658220801,2.178749891357736
jepa_d64_test1_noBN,jepa,64,test_c,8,z_dns,circulation_neg,24,-1.0253529588818457,-3.3929461137258308,-0.005523163652969811,1.89100817791297,1.380761727062265,2.420023832215301
jepa_d64_test1_noBN,jepa,64,test_c,16,z_dns,circulation_neg,24,0.00682414483641236,-1.303946652350846,0.4937798921656592,1.9642487962159187,1.6248500962979455,2.3335804244537455
jepa_d64_test1_noBN,jepa,64,test_c,32,z_dns,circulation_neg,24,0.5019444305937688,0.09177212233925162,0.7020989039553822,1.3310076158082451,1.0449619639270813,1.6111386616966885
jepa_d64_test1_noBN,jepa,64,test_c,64,z_dns,circulation_neg,24,0.694457957569762,0.3064809338091108,0.8454418945167421,0.662845769646003,0.4669902316906867,0.8912095745056077
jepa_d64_test1_noBN,jepa,64,test_c,1,z_markov,C_L,24,0.7979518549547697,0.5027704044515511,0.9100268223334701,0.8058055891987852,0.5741538150239814,1.058071478435418
jepa_d64_test1_noBN,jepa,64,test_c,4,z_markov,C_L,24,0.8277799704385634,0.7076492777481054,0.8909599746234266,0.9828248735735002,0.7295267437493795,1.2194565009539537
jepa_d64_test1_noBN,jepa,64,test_c,8,z_markov,C_L,24,0.4825558999454095,0.11915050773056866,0.6664378271111779,2.197650019602721,1.619047623910524,2.7900133380398104
jepa_d64_test1_noBN,jepa,64,test_c,16,z_markov,C_L,24,0.785481579263696,0.6727851216657824,0.8668688359374329,1.6269750663071936,1.1440244874965029,2.198553178480115
jepa_d64_test1_noBN,jepa,64,test_c,32,z_markov,C_L,24,-2.308651494883662,-5.429901619191672,-0.5140579678880869,0.8608652340024124,0.5226419439923283,1.2326317675006881
